Desired Title,Link,Year,Mo
2016_11_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/bf7b4bd723660fc0793428ee9f0ad2f256.pdf,2016,11
2016_12_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/a67b209105d02c6901f2a8fa5a0164a198.doc,2016,12
2017_1_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/0ed84d1944c221c915fec0e6f743d65b47.doc,2017,1
2017_2_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/2efbe7e508c52654913c69b43756e46c78.doc,2017,2
2017_3_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/2dd61144fccce3e3cb93f0c2bad4401935.doc,2017,3
2017_4_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/9da15bb31be99f7b3ef54032ea612dc377.doc,2017,4
2017_5_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/cb98fd83ebe639370dfb795cec92989c89.doc,2017,5
2017_6_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/865b85b0692b67992395df7c8909e53810.doc,2017,6
2017_7_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/da186f3fccf77be0e37c77db00b01e6921.doc,2017,7
2017_8_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/c137c060aa2a724da71e19933f08c70c64.doc,2017,8
2017_9_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/af339808c371f23e74a18e02803d690654.doc,2017,9
2017_10_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/6147b78ac9ce9f9145034f12ca42997348.doc,2017,10
2017_11_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/afbd675f423553ced0ed7329bc86d60c98.doc,2017,11
2017_12_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/75749e9e70fca7a1f78707d1f2b58e0182.doc,2017,12
2018_1_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/7bd625bfe03416d1313cec0193f9b77579.doc,2018,1
2018_2_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/af2382ea37d51aef15982ac077a3f92e90.doc,2018,2
